,
County,Population
Miami-Dade County,"2,716,940"
Broward County,"1,952,778"
Palm Beach County,"1,496,770"
Hillsborough County,"1,471,968"
Orange County,"1,393,452"
Pinellas County,"974,996"
Duval County,"957,755"
Lee County,"770,577"
Polk County,"724,777"
Brevard County,"601,942"
Pasco County,"553,947"
Volusia County,"553,284"
Seminole County,"471,826"
Sarasota County,"433,742"
Manatee County,"403,253"
Collier County,"384,902"
Osceola County,"375,751"
Lake County,"367,118"
Marion County,"365,579"
St. Lucie County,"328,297"
Escambia County,"318,316"
Leon County,"293,582"
Alachua County,"269,043"
St. Johns County,"264,672"
Clay County,"219,252"
Okaloosa County,"210,738"
Hernando County,"193,920"
Charlotte County,"188,910"
Santa Rosa County,"184,313"
Bay County,"174,705"
Martin County,"161,000"
Indian River County,"159,923"
Citrus County,"149,657"
Sumter County,"132,420"
Flagler County,"115,081"
Highlands County,"106,221"
Nassau County,"88,625"
Putnam County,"74,521"
Monroe County,"74,228"
Walton County,"74,071"
Columbia County,"71,686"
Jackson County,"46,414"
Gadsden County,"45,660"
Suwannee County,"44,417"
Okeechobee County,"42,168"
Hendry County,"42,022"
Levy County,"41,503"
DeSoto County,"38,001"
Wakulla County,"33,739"
Baker County,"29,210"
Bradford County,"28,201"
Hardee County,"26,937"
Washington County,"25,473"
Taylor County,"21,569"
Holmes County,"19,617"
Gilchrist County,"18,582"
Madison County,"18,493"
Dixie County,"16,826"
Union County,"15,237"
Hamilton County,"14,428"
Jefferson County,"14,246"
Calhoun County,"14,105"
Glades County,"13,811"
Gulf County,"13,639"
Franklin County,"12,125"
Lafayette County,"8,422"
Liberty County,"8,354"